Model,F1-Weighted,Macro F1,ROC-AUC,Rank
CatBoost (Balanced),0.9966591208424167,0.9856275606067898,0.9999855690961557,1
CatBoost (Original),0.9972314534210039,0.9855314673542988,0.9999997234039787,2
LightGBM (Balanced),0.9972193234136686,0.9833273983600781,0.9998672549839891,3
XGBoost (Unbalanced),0.9982595088449205,0.9715288666187961,0.9999823240357762,4
Gradient Boosting (Balanced),0.9949316300684888,0.955522135784011,0.9999373014475326,5
Random Forest (Balanced),0.7819997624616873,0.722921526969033,0.9903636709537891,6
