Model,F1-Weighted,Macro F1,ROC-AUC,Rank
Gradient Boosting (Balanced),0.9734719401732991,0.7919651375308725,0.9496244392306227,1
LightGBM (Balanced),0.9765945394001891,0.7781347896155342,0.9562866419989482,2
XGBoost (Unbalanced),0.9807495196477442,0.7651789109661394,0.9653759579814017,3
CatBoost (Original),0.9782303298454555,0.7601935770737631,0.9631609003087678,4
CatBoost (Balanced),0.9701125465171562,0.7508691076938288,0.9631609003087678,5
Random Forest (Balanced),0.6612326983554905,0.6100458630560279,0.9457013007886788,6
