Model,F1-Weighted,Macro F1,ROC-AUC,Rank
CatBoost (Original),0.997443683483641,0.9920642080812804,0.9999602853899207,1
CatBoost (Balanced),0.9948692457595311,0.983978874793447,0.9999602853899207,2
Gradient Boosting (Balanced),0.9969281180121613,0.9802014967154352,0.9999642979494541,3
LightGBM (Balanced),0.9933491185392078,0.9784849650701593,0.9999458501678323,4
XGBoost (Unbalanced),0.9928374532525301,0.9759309611298497,0.9999135999941173,5
Random Forest (Balanced),0.7730631355271849,0.7129826261075234,0.9909559881917441,6
