iter	Passed	Remaining
402	16518	8075
403	16556	8032
404	16591	7988
405	16628	7945
406	16663	7901
407	16697	7857
408	16731	7813
409	16765	7769
410	16799	7725
411	16833	7681
412	16867	7637
413	16901	7593
414	16936	7549
415	16973	7507
416	17008	7464
417	17045	7421
418	17084	7380
419	17122	7338
420	17159	7295
421	17196	7253
422	17236	7212
423	17276	7171
424	17313	7128
425	17346	7085
426	17381	7041
427	17415	6998
428	17449	6955
429	17484	6912
430	17521	6870
431	17554	6826
432	17590	6784
433	17623	6740
434	17657	6697
435	17692	6654
436	17727	6612
437	17763	6569
438	17796	6526
439	17827	6482
440	17860	6439
441	17896	6397
442	17931	6354
443	17966	6312
444	18000	6269
445	18034	6227
446	18069	6184
447	18105	6142
448	18140	6100
449	18174	6058
450	18208	6015
451	18246	5974
452	18281	5932
453	18324	5892
454	18362	5851
455	18409	5813
456	18480	5782
457	18560	5754
458	18610	5716
459	18649	5675
460	18693	5636
461	18739	5597
462	18794	5561
463	18850	5525
464	18891	5484
465	18928	5442
466	18964	5401
467	19040	5370
468	19090	5332
469	19129	5291
470	19165	5249
471	19201	5207
472	19240	5166
473	19276	5124
474	19314	5082
475	19353	5041
476	19404	5003
477	19457	4966
478	19533	4934
479	19609	4902
480	19677	4868
481	19742	4833
482	19790	4793
483	19836	4754
484	19884	4714
485	19921	4673
486	19960	4631
487	19998	4589
488	20035	4547
489	20070	4505
490	20106	4463
491	20139	4420
492	20174	4378
493	20211	4336
494	20252	4295
495	20288	4254
496	20326	4212
497	20363	4170
498	20402	4129
499	20440	4088
500	20472	4045
501	20508	4003
502	20543	3961
503	20577	3919
504	20611	3877
505	20647	3835
506	20683	3794
507	20720	3752
508	20756	3710
509	20792	3669
510	20830	3627
511	20871	3587
512	20915	3547
513	20958	3506
514	21012	3468
515	21059	3428
516	21101	3387
517	21145	3347
518	21202	3309
519	21274	3273
520	21326	3233
521	21375	3193
522	21416	3153
523	21457	3112
524	21501	3071
525	21543	3030
526	21580	2989
527	21614	2947
528	21650	2905
529	21685	2864
530	21720	2822
531	21755	2780
532	21789	2738
533	21822	2697
534	21856	2655
535	21887	2613
536	21920	2571
537	21957	2530
538	21994	2489
539	22029	2447
540	22064	2406
541	22100	2364
542	22131	2323
543	22165	2281
544	22201	2240
545	22238	2199
546	22275	2158
547	22311	2117
548	22345	2075
549	22378	2034
550	22413	1993
551	22448	1952
552	22482	1910
553	22522	1870
554	22563	1829
555	22607	1789
556	22659	1749
557	22708	1709
558	22762	1669
559	22803	1628
560	22843	1588
561	22884	1547
562	22937	1507
563	22984	1467
564	23039	1427
565	23077	1386
566	23112	1345
567	23147	1304
568	23182	1263
569	23217	1221
570	23256	1181
571	23298	1140
572	23342	1099
573	23394	1059
574	23448	1019
575	23503	979
576	23540	938
577	23575	897
578	23610	856
579	23647	815
580	23681	774
581	23715	733
582	23752	692
583	23784	651
584	23815	610
585	23849	569
586	23882	528
587	23916	488
588	23951	447
589	23985	406
590	24020	365
591	24055	325
592	24090	284
593	24124	243
594	24161	203
595	24199	162
596	24234	121
597	24266	81
598	24300	40
599	24334	0
