iter	TotalF1	MultiClass
0	0.7286326113	1.731789703
1	0.8597815801	1.477552309
2	0.8686287429	1.308484812
3	0.8690687989	1.179396778
4	0.8772424087	1.06170951
5	0.8791014102	0.9629149537
6	0.879914375	0.8887905172
7	0.8802041158	0.820101419
8	0.879582323	0.7628701081
9	0.8985029599	0.7067492114
10	0.8997823845	0.6576348641
11	0.9086684303	0.6167580656
12	0.9145910381	0.5744906098
13	0.9162995788	0.5384400086
14	0.921126172	0.5090954672
15	0.9216196772	0.4795990624
16	0.9242091491	0.4541943427
17	0.9283728878	0.4311086498
18	0.9328918521	0.4074921902
19	0.9354131347	0.387346106
20	0.9398582772	0.3686841968
21	0.9465769205	0.3520200735
22	0.9469179046	0.3354328936
23	0.9531548329	0.3214211119
24	0.9543879831	0.3065460473
25	0.9542210169	0.2939727903
26	0.9566957257	0.2823685236
27	0.9586263642	0.2713812537
28	0.9623034667	0.2590585779
29	0.9629577164	0.2487187019
30	0.9636130968	0.2404391294
31	0.9644200612	0.2309771425
32	0.9652261902	0.2223564038
33	0.9657363102	0.2144240133
34	0.9656865632	0.207955476
35	0.9663062129	0.2001479866
36	0.9671060749	0.1937527684
37	0.97195132	0.1868021014
38	0.9723692336	0.1800416662
39	0.9727176747	0.1747948948
40	0.9762325386	0.1656112283
41	0.9761091249	0.1610591916
42	0.9785823006	0.1552332641
43	0.9786560084	0.1498543723
44	0.9810459921	0.1449500176
45	0.9810042191	0.1404922163
46	0.9838445222	0.1340211427
47	0.9840415835	0.1307326873
48	0.9843928733	0.1266350444
49	0.9857903896	0.1208559359
50	0.9859868708	0.1174125793
51	0.985961211	0.1148111013
52	0.9864260154	0.1106116834
53	0.9864990108	0.1074162185
54	0.9866708066	0.1050057136
55	0.9872369095	0.1023145212
56	0.987430879	0.09883793762
57	0.987478608	0.09690971441
58	0.9877234481	0.09437105003
59	0.987699111	0.09266498446
60	0.9878956682	0.08868399482
61	0.9882943205	0.08563060434
62	0.9883669437	0.08374657574
63	0.9888845081	0.08115302063
64	0.9889561862	0.07935833689
65	0.9890560654	0.07770610886
66	0.9891748288	0.0755514105
67	0.9891259462	0.07400619785
68	0.9891978025	0.07214595961
69	0.9891997446	0.07041067959
70	0.9892993564	0.06890811974
71	0.9893714497	0.06745316039
72	0.989955796	0.064929754
73	0.989955796	0.06366333492
74	0.9902964503	0.06133866745
75	0.9905166384	0.06004532092
76	0.9907600276	0.05845868383
77	0.9907837385	0.05757489088
78	0.9911512407	0.05644843264
79	0.9913011496	0.05510156315
80	0.9914990766	0.05397803027
81	0.9916459235	0.05307277985
82	0.9917661965	0.05219165013
83	0.9919859325	0.05100708667
84	0.9923976702	0.04977435151
85	0.9957303048	0.04820303185
86	0.9960224587	0.04710869909
87	0.9966536411	0.046226135
88	0.9968239518	0.04512572618
89	0.9968481771	0.04445619077
90	0.9967996987	0.04363612841
91	0.9968724144	0.04270071456
92	0.9968723125	0.0421492683
93	0.9968723125	0.04157719758
94	0.9968722418	0.04100061374
95	0.9968237446	0.04016544245
96	0.9968722183	0.03960388145
97	0.9969933314	0.03867864918
98	0.9969935299	0.03798991864
99	0.997090731	0.03733006268
100	0.9973331579	0.03640401963
101	0.9974060851	0.03564176982
102	0.9974303408	0.03527423202
103	0.9976004289	0.03483095552
104	0.9975761733	0.0344379295
105	0.9975761733	0.03395631004
106	0.9976490838	0.03342413358
107	0.9976490342	0.03288923118
108	0.9976490289	0.03250728164
109	0.9976976368	0.03199722511
110	0.9976976368	0.03154875098
111	0.9977462394	0.03086860423
112	0.997818958	0.03034708696
113	0.9977946634	0.02996820155
114	0.9979888774	0.02920894713
115	0.9980131951	0.02887245206
116	0.9980374265	0.02828802465
117	0.998134328	0.02783703293
118	0.9981344626	0.02741316205
119	0.9981829198	0.02710671546
120	0.9981829198	0.02675519865
121	0.9981588499	0.02648909876
122	0.9981830178	0.02626827036
123	0.9982313218	0.02585252103
124	0.9983040343	0.0253605629
125	0.998352526	0.02507948996
126	0.9983526075	0.02458887193
127	0.9983526075	0.02404757354
128	0.998400993	0.02376292378
129	0.9983526128	0.023435534
130	0.9983526128	0.02294034488
131	0.9984979494	0.02255483467
132	0.9984979494	0.02226665679
133	0.9984737186	0.02209456138
134	0.9984979708	0.02179690219
135	0.9985222042	0.02157476853
136	0.9985222071	0.02129606399
137	0.9985222071	0.02107210826
138	0.9985949133	0.02069679104
139	0.9985706923	0.02034610031
140	0.9985706923	0.02021377047
141	0.9985706923	0.01994832212
142	0.9985706923	0.01974003961
143	0.9985949287	0.01942463884
144	0.9985949287	0.01924413521
145	0.9985949287	0.01906200512
146	0.9985949287	0.01888830644
147	0.9985949287	0.01871655807
148	0.9985949287	0.01856532852
149	0.9986191649	0.01842156388
150	0.9986191649	0.01829986788
151	0.9986434437	0.01809436369
152	0.9986434437	0.01795527153
153	0.9986676879	0.01773172174
154	0.9987161709	0.01756152973
155	0.9987161709	0.01745745732
156	0.9987161709	0.01733857462
157	0.9987161709	0.01722037183
158	0.9987161709	0.01686707392
159	0.9987161709	0.01674754637
160	0.9987161709	0.01652847521
161	0.9987161709	0.01630754087
162	0.9987404496	0.01619123039
163	0.9987404496	0.01603902506
164	0.9987404496	0.01594601075
165	0.9987162028	0.01574780631
166	0.9987404496	0.01558617135
167	0.9987889435	0.01545748791
168	0.9987889435	0.01537113394
169	0.9987404816	0.01530772184
170	0.9987647284	0.01521106319
171	0.9987889435	0.01508688274
172	0.9987889435	0.01497947347
173	0.9987647284	0.01489772796
174	0.9987889435	0.01468493908
175	0.9987647284	0.01460327419
176	0.9987647284	0.01455854439
177	0.9987647284	0.01448192281
178	0.9987646967	0.01432503207
179	0.9987404816	0.01423808839
180	0.9987404816	0.01412270296
181	0.9987162347	0.01405584075
182	0.9987162347	0.01394374115
183	0.9987162347	0.01387685933
184	0.9987404654	0.01381399814
185	0.9987404654	0.01376677698
186	0.9988131043	0.01368670384
187	0.9988131043	0.01359340373
188	0.9988131043	0.01349312774
189	0.9988131043	0.01338529503
190	0.9988373172	0.01334209153
191	0.9988373172	0.01317313692
192	0.9988373172	0.01313157285
193	0.9988373172	0.01307168877
194	0.9988373172	0.01304524936
195	0.9988131043	0.01294448378
196	0.9988373172	0.01286641503
197	0.9988373172	0.01276990271
198	0.9988373172	0.01269327819
199	0.9988615588	0.01264522632
200	0.9988615588	0.01256232896
201	0.9988615588	0.01249798028
202	0.9988615588	0.01242427091
203	0.9988373459	0.01238019695
204	0.9988373459	0.01223389978
205	0.9988373459	0.01216388148
206	0.9988373459	0.01212550148
207	0.9988373459	0.01206926322
208	0.9988373459	0.01197012729
209	0.9988373459	0.01191095353
210	0.9988373459	0.01184583659
211	0.9988373459	0.0117958161
212	0.9988373459	0.01173461595
213	0.9988373459	0.0117019781
